COMPSCI4028_1,Info Systems & Databases,Tue,12/05/2015,14:00 - 16:00,"Design Studio A (427A) James Watt Building,Design Studio B (427B) James Watt Building"
COMPSCI5056_1,Component Based SE (M),Tue,12/05/2015,14:00 - 15:30,Senate Room
COMPSCI4010_1,CS3Q:Advanced Prog 3,Wed,13/05/2015,09:30 - 11:00,"Randolph Hall,Bute Hall"
COMPSCI2020_1,CS2P:JOOSE 2,Wed,13/05/2015,09:30 - 11:00,Bute Hall
COMPSCI4043_1,Systems And Networks,Wed,13/05/2015,14:00 - 16:00,Design Studio B (427B) James Watt Building
COMPSCI4013_1,CS3U:Database Systems 3,Thu,14/05/2015,09:30 - 11:00,Room 201 John McIntyre Bldg
COMPSCI5014_1,Machine Learning (M),Thu,14/05/2015,14:00 - 16:00,Room 201 John McIntyre Bldg
COMPSCI4061_1,Machine Learning 4,Thu,14/05/2015,14:00 - 16:00,Room 201 John McIntyre Bldg
COMPSCI2021_1,CS2U: Web App Development 2,Thu,14/05/2015,14:00 - 15:00,Bute Hall
COMPSCI4014_1,CS3W:Interactive Systems 3,Fri,15/05/2015,09:30 - 11:00,Gym St. Andrews Building
COMPSCI4021_1,Functional Programming 4,Fri,15/05/2015,14:00 - 16:00,Randolph Hall
COMPSCI4064_1,"Big Data:Systems, Prog & Mgt 4",Mon,18/05/2015,09:30 - 10:30,Fore Hall
COMPSCI5058_1,Requirements Engineering (M),Mon,18/05/2015,09:30 - 11:00,Senate Room
COMPSCI4004_1,Artificial Intelligence 4,Mon,18/05/2015,14:00 - 16:00,Senate Room
COMPSCI4023_1,Human_Computer Interaction 4,Tue,19/05/2015,09:30 - 11:30,O.T.C. Drill Hall
COMPSCI5025_1,Research Methods & Techs (M),Tue,19/05/2015,14:00 - 16:00,Sir Charles Wilson Building Seminar Rooms
COMPSCI4065_1,Research Methods&Techniques 4,Tue,19/05/2015,14:00 - 16:00,Sir Charles Wilson Building Seminar Rooms
COMPSCI5069_1,Trends in Info Security (M),Wed,20/05/2015,09:30 - 11:30,School Room
COMPSCI5003_1,Adv Research Readings in CS,Wed,20/05/2015,09:30 - 12:30,School Room
COMPSCI4015_1,CS3X:Prof S/W Development 3,Wed,20/05/2015,09:30 - 11:30,Hunter Hall West
COMPSCI5066_1,Multimedia Sys & Apps (M),Thu,21/05/2015,09:30 - 11:30,Hunter Hall West
COMPSCI4033_1,Multimedia Sys & Apps 4,Thu,21/05/2015,09:30 - 11:30,Hunter Hall West
COMPSCI5006_1,Constraint Programming (M),Thu,21/05/2015,14:00 - 16:00,Fore Hall
COMPSCI5011_1,Information Retrieval (M),Fri,22/05/2015,09:30 - 11:30,Bute Hall
COMPSCI4069_1,Information Retrieval 4,Fri,22/05/2015,09:30 - 11:30,Bute Hall
COMPSCI5059_1,Software Engineering (M),Fri,22/05/2015,09:30 - 11:00,Senate Room
